Номер, Місто, Країна, Регіон, Кл-ть туристів, Середній вік туристів, З родиною чи без, Вартість одного дня, Податки, Прибуток міста
0, Абіджан, Кот-д'Івуар, Африка, 2 млн, 25-50 років, зазвичай з родиною, $120, 7%, $0.8 млрд
1, Абу-Дабі, ОАЕ, Азія, 10 млн, 25-50 років, зазвичай з родиною, $320, 15%, $5 млрд
2, Абуджа, Нігерія, Африка, 3 млн, 25-50 років, зазвичай без родини, $100, 5%, $1 млрд
3, Агра, Індія, Азія, 3 млн, 25-50 років, зазвичай без родини, $100, 7%, $1 млрд
4, Адана, Туреччина, Європа, 2 млн, 25-50 років, зазвичай з родиною, $160, 10%, $1 млрд
5, Аддис-Абеба, Ефіопія, Африка, 3 млн, 25-50 років, зазвичай з родиною, $110, 7%, $1 млрд
6, Аделаїда, Австралія, Океанія, 1.5 млн, 25-50 років, зазвичай з родиною, $220, 10%, $1 млрд
7, Акра, Гана, Африка, 2 млн, 25-50 років, зазвичай з родиною, $130, 7%, $0.9 млрд
8, Александрія, Єгипет, Африка, 4 млн, 25-50 років, зазвичай з родиною, $160, 10%, $2.5 млрд
9, Алжир, Алжир, Африка, 2 млн, 25-50 років, зазвичай з родиною, $90, 5%, $0.8 млрд
10, Аліканте, Іспанія, Європа, 2.5 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.5 млрд
11, Алмати, Казахстан, Азія, 2 млн, 25-50 років, зазвичай з родиною, $140, 7%, $1 млрд
12, Амієн, Франція, Європа, 1 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.2 млрд
13, Амман, Йорданія, Близький Схід, 3 млн, 25-50 років, зазвичай з родиною, $200, 12%, $2 млрд
14, Амстердам, Нідерланди, Європа, 7 млн, 20-45 років, зазвичай без родини, $250, 18%, $3 млрд
15, Анкара, Туреччина, Європа, 4 млн, 25-50 років, зазвичай з родиною, $180, 10%, $2.5 млрд
16, Анкор-Ват, Камбоджа, Азія, 2 млн, 25-50 років, зазвичай без родини, $100, 6%, $0.8 млрд
17, Анталія, Туреччина, Європа, 10 млн, 25-50 років, зазвичай з родиною, $190, 10%, $5 млрд
18, Антананаріву, Мадагаскар, Африка, 1 млн, 25-50 років, зазвичай з родиною, $120, 7%, $0.5 млрд
19, Арекипа, Перу, Південна Америка, 1.5 млн, 25-50 років, зазвичай з родиною, $130, 10%, $0.3 млрд
20, Асмара, Еритрея, Африка, 1 млн, 25-50 років, зазвичай з родиною, $90, 7%, $0.4 млрд
21, Астана, Казахстан, Азія, 1.5 млн, 25-50 років, зазвичай з родиною, $130, 7%, $0.9 млрд
22, Астрахань, Росія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.2 млрд
23, Асунсьйон, Парагвай, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $130, 7%, $0.9 млрд
24, Атланта, США, Північна Америка, 7 млн, 25-50 років, зазвичай з родиною, $240, 10%, $4.5 млрд
25, Аугсбург, Німеччина, Європа, 0.9 млн, 20-60 років, зазвичай з родиною, $85, 19%, $0.67 млрд
26, Афіни, Греція, Європа, 6 млн, 25-50 років, зазвичай без родини, $170, 15%, $2 млрд
27, Ашхабад, Туркменістан, Азія, 1.5 млн, 25-50 років, зазвичай без родини, $100, 10%, $0.6 млрд
